Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,width,height,nr,vole_depths,depths
png_downsampled_xy000.png,494.40805361964374,334.37378867770195,388.0768031208298,-602.1750694200591,-0.052537163784052154,14.651203315914813,-10.271103464310045,16.361330894506295,-478.20723744333964,360,302,0,415,342.37195737180224
png_downsampled_xy001.png,494.30113189960235,481.155443458153,414.63588910543865,-584.0469913753029,-0.1331289644618323,16.6130174265586,-10.793410256322375,16.422294530340423,-479.9785341627098,360,302,1,414,490.0617973515928
png_downsampled_xy002.png,502.884211769241,478.9877998657705,399.13426702652305,-576.6381921556341,-0.3922185913229441,24.027845560665412,-18.49350489042638,16.364914730860164,-478.132956578448,360,302,2,413,487.37042363610186
png_downsampled_xy003.png,477.29874797672835,478.2796465142804,376.1568353222747,-490.23289331113,-0.05717619272934371,12.348836730746882,-16.587044228356774,14.802872102696028,-432.49790552665746,360,302,3,412,485.8574342991661
png_downsampled_xy004.png,476.0792719153522,480.40800434192334,374.0143793928323,-485.89931245098023,0.06361846379002145,8.722229593891313,-14.673298321106245,14.579273995992878,-426.0012267471657,360,302,4,411,487.9116163718077
png_downsampled_xy005.png,462.5486670684057,468.74113605932143,366.4132336890619,-459.5129568135754,0.03305938577392453,9.041149279805381,-12.272051910656955,14.129003730654347,-412.88691650936175,360,302,5,410,475.97472724109036
png_downsampled_xy006.png,459.3501706232297,468.290767657711,365.79899497344104,-453.35656647094726,0.12539929387656912,6.20690407991583,-10.56786519899623,14.001064163687374,-409.18287918246267,360,302,6,409,475.5009709114319
png_downsampled_xy007.png,456.83375630023795,467.5128234987207,366.90130134901307,-446.41315715365306,0.12845971340198048,5.966190223493811,-10.36681386475152,13.938196402551512,-407.34890615721764,360,302,7,408,474.75884907161577
png_downsampled_xy008.png,452.6672453462287,466.1407760056371,365.732642194635,-437.9604825530397,0.1950343716364955,3.835349875720567,-8.864605986586753,13.75185132225397,-401.9326012173723,360,302,8,407,473.343732656178
png_downsampled_xy009.png,452.6100874600937,463.09142984442235,363.4200017172196,-438.34520694095113,0.11137289758244151,6.290121394358323,-9.321851147079883,13.818507722048196,-403.87178024558034,360,302,9,406,470.2152564872604
png_downsampled_xy010.png,453.0047627409806,457.9468355132223,361.27339931028155,-439.42613967822126,0.18021207863381505,4.300697877029222,-5.393553099345354,13.588079116353867,-397.2192424644618,360,302,10,405,464.99754682854314
png_downsampled_xy011.png,455.48406654372985,451.7369077913494,357.9182385798081,-442.54557926679297,-0.017964626553293783,10.163634172319291,-10.664282872941556,13.677696234434961,-399.7249946736076,360,302,11,404,458.67472627048636
png_downsampled_xy012.png,455.55972420691114,449.5591040488462,356.6822270491914,-444.18237384047245,-0.038727128310767966,10.806410428048423,-11.39997703394124,13.662786859248342,-399.27299831420794,360,302,12,403,456.45470988559623
png_downsampled_xy013.png,450.13821391961835,447.0806054192097,355.69679717844895,-433.00409222009876,-0.0037660236342844655,9.540638152267377,-10.614511039533454,13.53067183104099,-395.4268548949616,360,302,13,402,453.9384736593641
png_downsampled_xy014.png,449.1543244848179,444.633139826479,356.1676662160984,-433.3115048436457,0.06269846554050673,7.6038076392409835,-8.557929822442702,13.485593095799572,-394.15347293216723,360,302,14,401,451.5063779905472
png_downsampled_xy015.png,448.47879005274854,442.5495662047805,357.15719315086335,-430.9737598268024,0.03342158000191375,8.408995231706683,-8.73452843194542,13.551285798710637,-396.07058424024524,360,302,15,400,449.45614096553965
png_downsampled_xy016.png,445.2047696197277,440.27065509830726,356.93763362979496,-425.70452755762676,0.05858979817173804,7.558277082127802,-7.809525509464152,13.50428031235981,-394.7162161049634,360,302,16,399,447.1672828780335
png_downsampled_xy017.png,448.5032915922652,435.8603821309903,361.31359154682985,-432.3112675856705,0.04886651827075639,7.9864909968831626,-7.771364507368503,13.718184607335843,-400.97194374829473,360,302,17,398,442.9091152168231
png_downsampled_xy018.png,449.55672779347003,432.0303471661056,364.0505568757005,-433.5832982889244,0.04491503432564059,8.129742476929835,-7.528604678850911,13.787930196368507,-403.01670111435334,360,302,18,397,439.1734633098434
